Number,City Name,State Name,Road Connectivity Score (1-100),Train Connectivity Score (1-100),Flight Connectivity Score (1-100),Overall Connectivity Score (1-100),Road Access Indicator,Train Access Indicator,Flight Access Indicator,Connectivity Confidence
218,Maheshwar,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
219,Mandla,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
220,Mandsaur,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
221,Morena,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
222,Murwara,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
223,Narsimhapur,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
224,Narsinghgarh,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
225,Narwar,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
226,Neemuch,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
227,Nowgong,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
228,Orchha,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
229,Panna,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
230,Raisen,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
231,Rajgarh,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
232,Ratlam,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
233,Rewa,Madhya Pradesh,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
234,Sagar,Madhya Pradesh,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
235,Sarangpur,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
236,Satna,Madhya Pradesh,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
237,Sehore,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
238,Seoni,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
239,Shahdol,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
240,Shajapur,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
241,Sheopur,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
242,Shivpuri,Madhya Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
243,Ujjain,Madhya Pradesh,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
244,Vidisha,Madhya Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
245,Ahmadnagar,Maharashtra,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
246,Akola,Maharashtra,65,90,90,82,Road access exists; NH status not asserted,City-level railway passenger access reference,AAI airport-city match,Medium
247,Amravati,Maharashtra,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
248,Aurangabad,Maharashtra,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
249,Bhandara,Maharashtra,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
250,Bhusawal,Maharashtra,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
251,Bid,Maharashtra,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
252,Buldhana,Maharashtra,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
253,Chandrapur,Maharashtra,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
254,Daulatabad,Maharashtra,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
255,Dhule,Maharashtra,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
256,Jalgaon,Maharashtra,65,90,90,82,Road access exists; NH status not asserted,City-level railway passenger access reference,AAI airport-city match,Medium
257,Kalyan,Maharashtra,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
258,Karli,Maharashtra,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
259,Kolhapur,Maharashtra,65,90,90,82,Road access exists; NH status not asserted,City-level railway passenger access reference,AAI airport-city match,Medium
260,Mahabaleshwar,Maharashtra,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
261,Malegaon,Maharashtra,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
262,Matheran,Maharashtra,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
263,Mumbai,Maharashtra,95,90,20,68,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
264,Nagpur,Maharashtra,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
265,Nanded,Maharashtra,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
266,Nashik,Maharashtra,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
267,Osmanabad,Maharashtra,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
268,Pandharpur,Maharashtra,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
269,Parbhani,Maharashtra,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
270,Pune,Maharashtra,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
271,Ratnagiri,Maharashtra,65,90,90,82,Road access exists; NH status not asserted,City-level railway passenger access reference,AAI airport-city match,Medium
272,Sangli,Maharashtra,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
273,Satara,Maharashtra,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
274,Sevagram,Maharashtra,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
275,Solapur,Maharashtra,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
276,Thane,Maharashtra,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
277,Ulhasnagar,Maharashtra,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
278,Vasai-Virar,Maharashtra,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
279,Wardha,Maharashtra,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
280,Yavatmal,Maharashtra,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
281,Imphal,Manipur,75,90,90,85,Road access exists; NH status not asserted,City-level railway passenger access reference,AAI airport-city match,Medium
282,Cherrapunji,Meghalaya,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
283,Shillong,Meghalaya,75,90,90,85,Road access exists; NH status not asserted,City-level railway passenger access reference,AAI airport-city match,Medium
284,Aizawl,Mizoram,75,90,20,62,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
285,Lunglei,Mizoram,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
286,Kohima,Nagaland,75,90,20,62,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
287,Mon,Nagaland,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
288,Phek,Nagaland,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
289,Wokha,Nagaland,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
290,Zunheboto,Nagaland,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
291,Balangir,Odisha,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
292,Baleshwar,Odisha,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
293,Baripada,Odisha,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
294,Bhubaneshwar,Odisha,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
295,Brahmapur,Odisha,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
296,Cuttack,Odisha,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
297,Dhenkanal,Odisha,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
298,Kendujhar,Odisha,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
299,Konark,Odisha,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
300,Koraput,Odisha,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
301,Paradip,Odisha,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
302,Phulabani,Odisha,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
303,Puri,Odisha,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
304,Sambalpur,Odisha,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
305,Udayagiri,Odisha,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
306,Karaikal,Puducherry,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
307,Mahe,Puducherry,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
308,Puducherry,Puducherry,75,90,90,85,Road access exists; NH status not asserted,City-level railway passenger access reference,AAI airport-city match,Medium
309,Yanam,Puducherry,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
310,Amritsar,Punjab,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
311,Batala,Punjab,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
312,Chandigarh,Punjab,95,90,90,92,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
313,Faridkot,Punjab,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
314,Firozpur,Punjab,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
315,Gurdaspur,Punjab,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
316,Hoshiarpur,Punjab,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
317,Jalandhar,Punjab,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
318,Kapurthala,Punjab,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
319,Ludhiana,Punjab,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
320,Nabha,Punjab,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
321,Patiala,Punjab,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
322,Rupnagar,Punjab,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
323,Sangrur,Punjab,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
324,Abu,Rajasthan,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
325,Ajmer,Rajasthan,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
326,Alwar,Rajasthan,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
327,Amer,Rajasthan,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
328,Barmer,Rajasthan,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
329,Beawar,Rajasthan,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
330,Bharatpur,Rajasthan,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
331,Bhilwara,Rajasthan,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
332,Bikaner,Rajasthan,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
333,Bundi,Rajasthan,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
334,Chittaurgarh,Rajasthan,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
335,Churu,Rajasthan,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
336,Dhaulpur,Rajasthan,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
337,Dungarpur,Rajasthan,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
338,Ganganagar,Rajasthan,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
339,Hanumangarh,Rajasthan,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
340,Jaipur,Rajasthan,95,90,90,92,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
341,Jaisalmer,Rajasthan,65,90,90,82,Road access exists; NH status not asserted,City-level railway passenger access reference,AAI airport-city match,Medium
342,Jalor,Rajasthan,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
343,Jhalawar,Rajasthan,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
344,Jhunjhunu,Rajasthan,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
345,Jodhpur,Rajasthan,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
346,Kishangarh,Rajasthan,65,35,90,63,Road access exists; NH status not asserted,No city-level railway match in conservative reference,AAI airport-city match,Medium
347,Kota,Rajasthan,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
348,Merta,Rajasthan,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
349,Nagaur,Rajasthan,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
350,Nathdwara,Rajasthan,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
351,Pali,Rajasthan,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
352,Phalodi,Rajasthan,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
353,Pushkar,Rajasthan,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
354,Sawai Madhopur,Rajasthan,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
355,Shahpura,Rajasthan,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
356,Sikar,Rajasthan,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
357,Sirohi,Rajasthan,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
358,Tonk,Rajasthan,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
359,Udaipur,Rajasthan,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
360,Gangtok,Sikkim,75,90,20,62,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
361,Gyalshing,Sikkim,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
362,Lachung,Sikkim,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
363,Mangan,Sikkim,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
364,Arcot,Tamil Nadu,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
365,Chengalpattu,Tamil Nadu,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
366,Chennai,Tamil Nadu,95,90,90,92,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
367,Chidambaram,Tamil Nadu,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
368,Coimbatore,Tamil Nadu,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
369,Cuddalore,Tamil Nadu,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
370,Dharmapuri,Tamil Nadu,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
371,Dindigul,Tamil Nadu,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
372,Erode,Tamil Nadu,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
373,Kanchipuram,Tamil Nadu,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
374,Kanniyakumari,Tamil Nadu,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
375,Kodaikanal,Tamil Nadu,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
376,Kumbakonam,Tamil Nadu,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
377,Madurai,Tamil Nadu,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
378,Mamallapuram,Tamil Nadu,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
379,Nagappattinam,Tamil Nadu,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
380,Nagercoil,Tamil Nadu,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
381,Palayamkottai,Tamil Nadu,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
382,Pudukkottai,Tamil Nadu,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
383,Rajapalayam,Tamil Nadu,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
384,Ramanathapuram,Tamil Nadu,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
385,Salem,Tamil Nadu,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
386,Thanjavur,Tamil Nadu,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
387,Tiruchchirappalli,Tamil Nadu,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
388,Tirunelveli,Tamil Nadu,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
389,Tiruppur,Tamil Nadu,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
390,Thoothukudi,Tamil Nadu,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
391,Udhagamandalam,Tamil Nadu,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
392,Vellore,Tamil Nadu,65,35,90,63,Road access exists; NH status not asserted,No city-level railway match in conservative reference,AAI airport-city match,Medium
393,Hyderabad,Telangana,95,90,90,92,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
394,Karimnagar,Telangana,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
395,Khammam,Telangana,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
396,Mahbubnagar,Telangana,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
397,Nizamabad,Telangana,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
398,Sangareddi,Telangana,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
399,Warangal,Telangana,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
400,Agartala,Tripura,75,90,90,85,Road access exists; NH status not asserted,City-level railway passenger access reference,AAI airport-city match,Medium
401,Agra,Uttar Pradesh,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
402,Aligarh,Uttar Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
403,Amroha,Uttar Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
404,Ayodhya,Uttar Pradesh,65,90,90,82,Road access exists; NH status not asserted,City-level railway passenger access reference,AAI airport-city match,Medium
405,Azamgarh,Uttar Pradesh,65,90,90,82,Road access exists; NH status not asserted,City-level railway passenger access reference,AAI airport-city match,Medium
406,Bahraich,Uttar Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
407,Ballia,Uttar Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
408,Banda,Uttar Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
409,Bara Banki,Uttar Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
410,Bareilly,Uttar Pradesh,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
411,Basti,Uttar Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
412,Bijnor,Uttar Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
413,Bithur,Uttar Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
414,Budaun,Uttar Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
415,Bulandshahr,Uttar Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
416,Deoria,Uttar Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
417,Etah,Uttar Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
418,Etawah,Uttar Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
419,Faizabad,Uttar Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
420,Farrukhabad-cum-Fatehgarh,Uttar Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
421,Fatehpur,Uttar Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
422,Fatehpur Sikri,Uttar Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
423,Ghaziabad,Uttar Pradesh,85,90,20,65,NH-linked city reference,City-level railway passenger access reference,No direct AAI airport-city match,Medium
424,Ghazipur,Uttar Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
425,Gonda,Uttar Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
426,Gorakhpur,Uttar Pradesh,85,90,90,88,NH-linked city reference,City-level railway passenger access reference,AAI airport-city match,High
427,Hamirpur,Uttar Pradesh,65,90,20,58,Road access exists; NH status not asserted,City-level railway passenger access reference,No direct AAI airport-city match,Medium
428,Hardoi,Uttar Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
429,Hathras,Uttar Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
430,Jalaun,Uttar Pradesh,65,35,20,40,Road access exists; NH status not asserted,No city-level railway match in conservative reference,No direct AAI airport-city match,Low
