activity_id,activity_name,city_name,state_name,district_name,activity_category,activity_subcategory,tourism_type,experience_level,seasonality,activity_location,officially_recognized,source_name,source_url,evidence_notes,association_notes
ACT000109,Angling and Trout Fishing,Kullu,Himachal Pradesh,Kullu,Water,Fishing,Sports Tourism,Moderate,Seasonal,Tirthan River & Parvati River corridors,Yes,"Department of Fisheries, Government of Himachal Pradesh",https://fisheries.hp.gov.in/,Sport angling for brown and rainbow trout in licensed river beats under official permits issued by HP Fisheries Department.,Conducted in designated trout waters across Kullu district valleys within 25-45 km of Kullu city.
ACT000110,Prashar Lake Alpine Trekking,Mandi,Himachal Pradesh,Mandi,Adventure,Trekking,Eco Tourism,Moderate,Year-round,"Baggi Village to Prashar Lake Trail (2,730m)",Yes,Mandi District Tourism Development Authority,https://hpmandi.nic.in/tourist-places/,Popular trekking trail leading to the sacred oval lake with a floating island and 13th-century pagoda-style Rishi Prashar temple.,Mandi is the primary base town and transit hub for Prashar Lake excursions located 45 km northeast.
ACT000111,Boating on Sacred Renuka Lake,Nahan,Himachal Pradesh,Sirmaur,Water,Boating,Eco Tourism,Beginner,Year-round,Renuka Lake & Wetland (Ramsar Site),Yes,Himachal Pradesh Tourism Development Corporation (HPTDC),https://himachaltourism.gov.in/destination/nahan/,Row boating and pedal boating facilities on Himachal's largest natural lake and designated Ramsar wetland.,Renuka Lake is located 38 km from Nahan and serves as the primary regional tourism attraction of Sirmaur district.
ACT000112,Renuka Wildlife Sanctuary Walking Safari,Nahan,Himachal Pradesh,Sirmaur,Wildlife,Safari,Wildlife Tourism,Beginner,Year-round,Renuka Wildlife Sanctuary & Mini Zoo,Yes,Himachal Pradesh Forest Department (Wildlife Wing),https://hpforest.nic.in/,"Guided walking nature trails through mixed deciduous forest with sightings of sambar, spotted deer, barking deer, and waterfowl.",Surrounds Renuka Lake within the Nahan tourism circuit.
ACT000113,Snow Skiing and Winter Sports,Shimla,Himachal Pradesh,Shimla,Adventure,Skiing,Adventure Tourism,Beginner,Winter,Kufri Slopes & Narkanda Ski Slopes,Yes,Himachal Pradesh Tourism Development Corporation (HPTDC),https://hptdc.in/index.php/winter-sports-skiing/,HPTDC conducts annual beginner ski training courses and rental services on the snow slopes of Kufri and Narkanda.,Kufri is located 16 km from Shimla city center and represents Shimla's premier winter sports hub.
ACT000114,Colonial Heritage Architectural Walk,Shimla,Himachal Pradesh,Shimla,Cultural,Heritage Walk,Heritage Tourism,Beginner,Year-round,"The Mall Road, The Ridge, and Viceregal Lodge Precinct",Yes,"Department of Language, Art and Culture, Himachal Pradesh",https://himachaltourism.gov.in/destination/shimla/,"Curated pedestrian heritage tour through historic British Raj municipal architecture, Christ Church, Gaiety Theatre, and Indian Institute of Advanced Study.",Physically located within the core pedestrianized zone of Shimla town.
ACT000115,Kalka-Shimla Toy Train Joyride,Shimla,Himachal Pradesh,Shimla,Leisure,Scenic Tour,Heritage Tourism,All Levels,Year-round,Shimla Railway Station to Taradevi / Summer Hill stretch,Yes,"Northern Railway, Indian Railways & UNESCO World Heritage",https://nr.indianrailways.gov.in/,Operational narrow-gauge mountain railway ride on the UNESCO Mountain Railways of India ensemble with scenic viaducts and tunnels.,Departs from Shimla Terminus inside Shimla urban center.
ACT000116,Water Sports and Boating,Una,Himachal Pradesh,Una,Water,Boating,Leisure Tourism,Beginner,Seasonal,Gobind Sagar Wetland (Androusa & Raipur Sahoran),Yes,Una District Administration & HP Tourism,https://hpuna.nic.in/tourist-places/,Seasonal boat tours and migratory waterbird viewing on the backwaters of Bhakra Dam reservoir.,Located on the eastern fringe of Una district bordering the reservoir basin.
ACT000117,Lidder River White Water Rafting,Anantnag,Jammu and Kashmir,Anantnag,Adventure,Rafting,Adventure Tourism,Moderate,Seasonal,"Lidder River (Yenner to Yarikipora stretch, Pahalgam)",Yes,Pahalgam Development Authority & J&K Tourism,https://www.jktourism.jk.gov.in/,Grade II-III white water rafting runs on the Lidder river under safety certification by J&K Tourism.,"Pahalgam is the primary tourism resort in Anantnag district, located 42 km from Anantnag city."
ACT000118,Pony Trekking & Valley Trail Walk,Anantnag,Jammu and Kashmir,Anantnag,Adventure,Trekking,Nature Tourism,Beginner,Summer,"Aru Valley, Betab Valley & Baisaran Meadow",Yes,Pahalgam Development Authority,https://www.jktourism.jk.gov.in/,Organized pony treks and walking trails through pine-fringed alpine meadows known locally as 'Mini Switzerland'.,Conducted in the upper Lidder valley tourism cluster of Anantnag district.
ACT000119,Wetland Eco-Tourism & Bird Watching,Baramula,Jammu and Kashmir,Baramulla,Wildlife,Bird Watching,Eco Tourism,Beginner,Winter,Wular Lake Conservation Area & Eco-Park,Yes,Wular Conservation and Management Authority (WUCMA),https://wucma.jk.gov.in/,Bird watching tours on Asia's largest freshwater lake observing tens of thousands of migratory waterfowl and shorebirds.,Wular Lake is situated 16 km northeast of Baramulla town.
ACT000120,Alpine Snow Skiing and Snowboarding,Gulmarg,Jammu and Kashmir,Baramulla,Adventure,Skiing,Adventure Tourism,Advanced,Winter,"Apharwat Peak Snow Slopes (3,950m)",Yes,Jammu and Kashmir Tourism Development Corporation (JKTDC) & IIS&M,https://www.jktourism.jk.gov.in/,"Asia's premier powder skiing destination featuring world-class backcountry runs, ski rentals, and certified ski patrol rescue teams.",Slopes terminate directly at the Gulmarg bowl resort area.
ACT000121,Gulmarg Gondola High-Altitude Cable Car Ride,Gulmarg,Jammu and Kashmir,Baramulla,Leisure,Scenic Tour,Adventure Tourism,All Levels,Year-round,Gulmarg to Kongdoori (Phase 1) and Apharwat (Phase 2),Yes,"J&K Cable Car Corporation, Government of Jammu and Kashmir",https://www.jktourism.jk.gov.in/,"One of the world's highest operating cable cars carrying passengers up to 13,780 ft on Mount Apharwat.",Boarding base station is situated at the Gulmarg valley floor.
ACT000122,High-Altitude Golfing,Gulmarg,Jammu and Kashmir,Baramulla,Sports,Golfing,Sports Tourism,Moderate,Summer,Gulmarg Historic Golf Course,Yes,Jammu and Kashmir Tourism Development Corporation,https://www.jktourism.jk.gov.in/,"Historic 18-hole golf course established in 1911, recognized as the highest green golf course in the world at 2,650 meters.",Located centrally within the Gulmarg meadow.
ACT000123,Bahu Ropeway Cable Car Ride & Temple Walk,Jammu,Jammu and Kashmir,Jammu,Leisure,Scenic Tour,Cultural Tourism,All Levels,Year-round,Peerkho to Bahu Fort Cable Car Corridor,Yes,J&K Cable Car Corporation & J&K Tourism,https://www.jktourism.jk.gov.in/,"Passenger ropeway connecting Peerkho cave, Mahamaya temple, and the historic 3,000-year-old Bahu Fort across the Tawi river gorge.",Located in the heart of Jammu city.
ACT000124,Traditional Shikara Boat Cruise,Srinagar,Jammu and Kashmir,Srinagar,Water,Boating,Cultural Tourism,Beginner,Year-round,Dal Lake & Nigeen Lake,Yes,"Directorate of Tourism, Jammu and Kashmir",https://www.jktourism.jk.gov.in/,"Iconic wooden boat rides through floating lotus gardens, floating vegetable markets, and historic wooden bridges regulated by J&K Tourism.",Conducted directly inside Srinagar municipal waters.
ACT000125,Heritage Houseboat Living Experience,Srinagar,Jammu and Kashmir,Srinagar,Leisure,Scenic Tour,Heritage Tourism,All Levels,Year-round,"Dal Lake, Nigeen Lake & Jhelum River Ghats",Yes,Houseboat Owners Association & J&K Tourism,https://www.jktourism.jk.gov.in/,Unique residential leisure tourism staying aboard intricately carved cedarwood houseboats dating back to the British era.,Moored along the shores of Dal and Nigeen lakes in Srinagar.
ACT000126,Hangul Wildlife Tracking & Nature Safari,Srinagar,Jammu and Kashmir,Srinagar,Wildlife,Safari,Wildlife Tourism,Moderate,Autumn,Dachigam National Park,Yes,"Department of Wildlife Protection, Government of Jammu and Kashmir",https://jkwildlife.com/,"Guided walking and vehicle safaris tracking the endangered Kashmir Stag (Hangul), Himalayan black bear, and leopard.",Located 22 km from Srinagar city center on the foothills of the Zabarwan range.
ACT000127,Mughal Gardens & Old City Heritage Walk,Srinagar,Jammu and Kashmir,Srinagar,Cultural,Heritage Walk,Heritage Tourism,Beginner,Spring,"Shalimar Bagh, Nishat Bagh & Downtown Shehr-e-Khaas",Yes,"Directorate of Tourism, J&K & INTACH Kashmir Chapter",https://www.jktourism.jk.gov.in/,"Pedestrian trail through terraced Persian-style water gardens, Jamia Masjid, Shah Hamdan shrine, and traditional wooden bridge architecture.",Spans the historic core and eastern lakefront of Srinagar city.
ACT000128,Tandem Paragliding,Srinagar,Jammu and Kashmir,Srinagar,Adventure,Paragliding,Adventure Tourism,Beginner,Seasonal,Astanmarg Launch Site (Harwan),Yes,"Directorate of Tourism, Jammu and Kashmir",https://www.jktourism.jk.gov.in/,"Certified tandem paragliding joyrides descending from 7,400 ft Astanmarg ridge to the Harwan landing ground.",Located 15 km northeast of Srinagar downtown.
ACT000129,Alpine Skiing and Sledging,Udhampur,Jammu and Kashmir,Udhampur,Adventure,Skiing,Adventure Tourism,Beginner,Winter,Patnitop Meadow & Madhatop Slopes,Yes,Patnitop Development Authority (PDA) & JKTDC,https://patnitop.jk.gov.in/,"Winter snow skiing training courses, wooden sledge rides, and tubing slopes operated on the snow-covered meadows of Patnitop.","Patnitop is the premier hill resort of Udhampur district, situated 45 km north of Udhampur town."
ACT000130,Tandem Paragliding & Zipline,Udhampur,Jammu and Kashmir,Udhampur,Adventure,Paragliding,Adventure Tourism,Beginner,Summer,Sanasar Aero-Sports & Adventure Hub,Yes,Patnitop Development Authority,https://patnitop.jk.gov.in/,Aero sports hub featuring certified tandem paragliding flights and one of India's longest dual-ziplines across Sanasar lake.,Sanasar is situated 19 km from Patnitop within the Udhampur destination belt.
ACT000131,Trikut Pahar Aerial Ropeway Ride & Hilltop Trek,Deoghar,Jharkhand,Deoghar,Leisure,Scenic Tour,Adventure Tourism,Beginner,Year-round,Trikut Pahar (Three Peaks of Ravana),Yes,Jharkhand Tourism Development Corporation (JTDC),https://deoghar.nic.in/tourist-places/,"Passenger cable car ropeway ascending the 2,470-foot sheer granite boulder peaks of Trikut, offering views of Mayurakshi river valley.",Located 15 km east of Deoghar city.
ACT000132,Parasnath Hill 27-km Holy Pilgrimage Mountain Trek,Giridih,Jharkhand,Giridih,Spiritual,Spiritual Walk,Spiritual Tourism,Advanced,Winter,"Shikharji (Parasnath Mountain Summit - 1,365m)",Yes,Jharkhand Tourism & Shri Digambar Jain Teerth Kshetra Committee,https://giridih.nic.in/tourist-places/,"The most sacred pilgrimage summit of Jainism where 20 of 24 Tirthankaras attained Moksha, undertaken as an arduous 27-km mountain trek from Madhuban.","Parasnath mountain is the highest peak in Jharkhand, located in Giridih district."
ACT000133,Sohrai and Khovar Tribal Mural Art Village Tour,Hazaribag,Jharkhand,Hazaribagh,Cultural,Handicraft Experience,Cultural Tourism,Beginner,Winter,Bhelwara & Jorakath Indigenous Artisan Villages,Yes,Virasat Trust & Jharkhand Tourism,https://hazaribag.nic.in/tourist-places/,Village walking tours interacting with indigenous Kurmi and Santhal tribal women creating GI-tagged Sohrai and Khovar geometric mud-wall mural paintings.,Located 15 km outside Hazaribag town.
ACT000134,Dalma Wildlife Sanctuary Elephant Tracking Safari,Jamshedpur,Jharkhand,East Singhbhum,Wildlife,Safari,Wildlife Tourism,Beginner,Winter,Dalma Wildlife Sanctuary & Dimna Lake,Yes,Jharkhand Forest Department (Wildlife Wing),https://forest.jharkhand.gov.in/,"Forest safari trails through the Dalma hill range tracking herds of wild Indian elephants, bark deer, and sloth bears, combined with boating on Dimna lake.",Rises 10 km directly north of Jamshedpur steel city.
ACT000135,Waterfalls Canyon Trekking & Nature Walk,Ranchi,Jharkhand,Ranchi,Adventure,Trekking,Eco Tourism,Moderate,Monsoon,Hundru Falls & Jonha Falls (Subarnarekha River Gorge),Yes,Jharkhand Tourism Development Corporation (JTDC),https://tourism.jharkhand.gov.in/,"Trekking down 750 stone steps into the river canyon below the 320-ft Hundru Falls, experiencing natural rock pools and monsoon cascades.",Hundru Falls is situated 45 km northeast of Ranchi city.
ACT000136,Patratu Valley Scenic Drive & Dam Boating,Ranchi,Jharkhand,Ramgarh,Water,Boating,Leisure Tourism,Beginner,Year-round,Patratu Dam Lake & Valley View Point,Yes,Jharkhand Tourism Development Corporation (JTDC),https://tourism.jharkhand.gov.in/,Speedboating and pedal boating on the picturesque Patratu lake surrounded by the winding ghat hairpin bends of the valley.,Located 35 km north of Ranchi city.
ACT000137,Sandstone Cliff Rock Climbing & Bouldering,Badami,Karnataka,Bagalkote,Adventure,Rock Climbing,Adventure Tourism,Advanced,Winter,Badami Red Sandstone Cliffs & Canyons,Yes,General Thimayya National Academy of Adventure & Karnataka Tourism,https://www.karnatakatourism.org/,Internationally renowned rock climbing destination with over 150 bolted sport routes and natural bouldering problems on steep red sandstone cliffs.,Climbing crags surround the Agastya lake basin inside Badami.
ACT000138,Badami Cave Temples & Agastya Lake Heritage Walk,Badami,Karnataka,Bagalkote,Cultural,Heritage Walk,Heritage Tourism,Beginner,Winter,Badami Rock-Cut Cave Temples (Caves 1-4) & Bhutanatha Temple,Yes,Archaeological Survey of India (ASI),https://asi.nic.in/,"Guided walking tour through 6th-century Chalukyan rock-cut shrines, 18-armed dancing Nataraja carvings, and Bhutanatha temple perched on the lake edge.",Located on the cliffs enclosing Badami town.
ACT000139,UNESCO Tungabhadra River Coracle Boat Ride & Boulder Trek,Ballari,Karnataka,Vijayanagara,Water,Boating,Heritage Tourism,Beginner,Seasonal,Hampi UNESCO Ruins (Tungabhadra River to Virupaksha Temple),Yes,Hampi World Heritage Area Management Authority (HWHAMA) & KSTDC,https://hampi.nic.in/,Traditional round wicker coracle boat rides navigating the swirling rapids of the Tungabhadra river amidst colossal balancing granite boulders.,"Hampi is located in Vijayanagara/Ballari district, 60 km from Ballari city."
ACT000140,Sloth Bear Wildlife Safari,Ballari,Karnataka,Vijayanagara,Wildlife,Safari,Wildlife Tourism,Beginner,Year-round,Daroji Sloth Bear Sanctuary,Yes,Karnataka Forest Department,https://aranya.gov.in/,India's first exclusive sloth bear sanctuary featuring a high observation watchtower viewing wild sloth bears foraging on honey and jaggery spread on rocks.,Situated 50 km west of Ballari near Kamalapura.
ACT000141,Biological Park Safari & Butterfly Walk,Bengaluru,Karnataka,Bengaluru Urban,Wildlife,Safari,Wildlife Tourism,Beginner,Year-round,Bannerghatta Biological Park (BBP),Yes,Zoo Authority of Karnataka & Karnataka Tourism,https://bannerghattabiologicalpark.org/,"Caged air-conditioned bus safaris tracking tigers, lions, and bears across 104 hectares of natural forest, alongside India's first dedicated Butterfly Park walk.",Located 22 km south of Bengaluru city center.
ACT000142,Colonial & Royal Palace Heritage Walk,Bengaluru,Karnataka,Bengaluru Urban,Cultural,Heritage Walk,Heritage Tourism,Beginner,Year-round,"Bangalore Palace, Tipu Sultan's Summer Palace & Pete Walk",Yes,Karnataka Tourism (KSTDC) & INTACH Bengaluru,https://www.karnatakatourism.org/,"Audio-guided walking tour exploring Tudor-style architecture at Bangalore Palace, teakwood pillared corridors of Tipu Sultan's fort, and historic Pete flower bazaars.",Spans central Bengaluru and Vasanth Nagar.
ACT000143,Belgaum Fort Heritage Walk & Gokak Falls Canyon Trek,Belagavi,Karnataka,Belagavi,Cultural,Heritage Walk,Heritage Tourism,Moderate,Monsoon,Belgaum Fort (Kamal Basti) & Gokak Falls Hanging Bridge,Yes,Archaeological Survey of India & Karnataka Tourism,https://belagavi.nic.in/tourist-places/,"Walking tour of 12th-century Ratta dynasty fort and Chalukyan Kamal Basti temple, alongside crossing the 200-meter suspension hanging bridge over the 170-ft Gokak gorge.","Gokak Falls is located in Belagavi district, 60 km from Belagavi city."
ACT000144,Bidar Fort Citadel Walk & Bidriware Craft Workshop,Bidar,Karnataka,Bidar,Cultural,Handicraft Experience,Heritage Tourism,Beginner,Winter,"Bidar Fort (Gagan Mahal, Rangin Mahal) & Bidriware Artisan Hub",Yes,Archaeological Survey of India & Karnataka Tourism,https://bidar.nic.in/tourist-places/,"Walking through triple-moated Bahmani sultanate ramparts and inlaid mother-of-pearl palaces, followed by observing master craftsmen inlaying pure silver wire into blackened zinc alloy (Bidriware).",Located inside Bidar city.
ACT000145,Mullayanagiri & Baba Budangiri Mountain Trekking,Chikkamagaluru,Karnataka,Chikkamagaluru,Adventure,Trekking,Adventure Tourism,Moderate,Winter,"Sarpadhari to Mullayanagiri Peak (1,930m - Highest in Karnataka)",Yes,Karnataka Forest Department & Tourism Department,https://chikkamagaluru.nic.in/tourist-places/,"Popular ridge trekking trail ascending the highest peak in Karnataka, offering views of coffee-covered valleys and mist-clad Shola grasslands.",Trailhead is located 20 km north of Chikkamagaluru town.
ACT000146,Bhadra Wildlife Sanctuary Boat & Jeep Safari,Chikkamagaluru,Karnataka,Chikkamagaluru,Wildlife,Safari,Wildlife Tourism,Beginner,Seasonal,Bhadra Tiger Reserve (Lakkavalli & Muthodi Gates),Yes,Karnataka Forest Department & Jungle Lodges,https://aranya.gov.in/,"Boat safaris on the Bhadra reservoir and jeep safaris inside the moist deciduous forest tracking tigers, leopards, black panthers, and Malabar giant squirrels.",Muthodi safari gate is located 30 km from Chikkamagaluru.
ACT000147,Seven-Ringed Granite Fort Adventure Trek,Chitradurga,Karnataka,Chitradurga,Adventure,Trekking,Heritage Tourism,Moderate,Winter,Chitradurga Kallina Kote (Stone Fort Complex),Yes,Archaeological Survey of India & Karnataka Tourism,https://chitradurga.nic.in/tourist-places/,"Trekking through 18 temples, 19 gateways, 38 secret posterior entrances, grinding stone water reservoirs, and the famous Onake Obavvana Kindi crevice.",Located directly in Chitradurga town.
ACT000148,Hoysala Temple Sculpture Architectural Walk,Halebid,Karnataka,Hassan,Cultural,Heritage Walk,Heritage Tourism,Beginner,Year-round,Hoysaleswara Temple (UNESCO World Heritage Site),Yes,Archaeological Survey of India (ASI) & Karnataka Tourism,https://asi.nic.in/,"Detailed interpretive walking tour along the soapstone star-shaped plinth featuring 8 continuous bands of friezes carved with elephants, lions, horses, and makaras.",Located at the historic capital township of Halebidu.
ACT000149,Submerged Church Kayaking & Coracle Boating,Hassan,Karnataka,Hassan,Water,Kayaking,Adventure Tourism,Beginner,Seasonal,Shettihalli Rosary Church (Hemavathi River Reservoir),Yes,Karnataka Tourism & Hassan District Administration,https://hassan.nic.in/tourist-places/,Kayaking and coracle boat rides around the partially submerged 1860 French Gothic church ruins that submerge during monsoon water releases and emerge in summer.,Located 22 km from Hassan city at Shettihalli.
ACT000150,Gulbarga Fort & Monolithic Mosque Heritage Walk,Kalaburagi,Karnataka,Kalaburagi,Cultural,Heritage Walk,Heritage Tourism,Beginner,Winter,Gulbarga Fort & Jama Masjid (Moorish Covered Mosque),Yes,Archaeological Survey of India (ASI),https://asi.nic.in/,"Walking tour of the 14th-century Bahmani capital fort featuring the unique Jamia Masjid modeled on the Cordoba Cathedral-Mosque, covered entirely by 68 domes with no open courtyard.",Located in the historic center of Kalaburagi (Gulbarga).
ACT000151,Coffee & Spice Plantation Walking Tour,Madikeri,Karnataka,Kodagu,Cultural,Agro Tourism,Agro Tourism,Beginner,Year-round,Madikeri Coffee Plantations & Organic Estate Trails,Yes,Coffee Board of India & Karnataka Tourism,https://www.karnatakatourism.org/,"Guided agronomy walks through shade-grown Arabica and Robusta coffee estates, cardamom groves, pepper vines, and vanilla cultivation with coffee cupping sessions.",Located throughout the rolling hills surrounding Madikeri.
ACT000152,Tadiandamol Peak Alpine Trekking,Madikeri,Karnataka,Kodagu,Adventure,Trekking,Adventure Tourism,Moderate,Winter,"Kakkabe to Tadiandamol Summit (1,748m)",Yes,Karnataka Forest Department (Eco-Tourism Development Board),https://www.karnatakaecotourism.com/,Official trek ascending the highest mountain peak in Coorg through Shola forest patches and rolling grassland ridges with online forest department permits.,Trailhead at Kakkabe is situated 35 km south of Madikeri.
ACT000153,Dubare Elephant Camp River Rafting & Interaction,Madikeri,Karnataka,Kodagu,Wildlife,Safari,Wildlife Tourism,Beginner,Seasonal,Dubare Elephant Camp (Kaveri River),Yes,Jungle Lodges & Resorts (JLR) & Karnataka Forest Department,https://www.junglelodges.com/,"Elephant grooming, bathing, and feeding experiences on the banks of the Kaveri, alongside seasonal Grade II still-water river rafting runs.",Located 28 km east of Madikeri.
ACT000154,Sea Surfing & Stand-Up Paddleboarding,Mangaluru,Karnataka,Dakshina Kannada,Adventure,Surfing,Adventure Tourism,Moderate,Seasonal,Sasihithlu Beach (Mantra Surf Club) & Panambur Beach,Yes,Surfing Federation of India & Karnataka Tourism,https://www.karnatakatourism.org/,"Recognized surfing hub hosting the Indian Open of Surfing, offering certified ISA surf instruction, board rentals, and stand-up paddling.",Sasihithlu beach is located 22 km north of Mangaluru city center.
ACT000155,Heritage Palace Walk & Illumination Tour,Mysuru,Karnataka,Mysuru,Cultural,Heritage Walk,Heritage Tourism,Beginner,Year-round,Mysore Palace (Amba Vilas Palace) & Devaraja Market,Yes,Mysore Palace Board & Karnataka Tourism,https://www.mysorepalace.gov.in/,"Guided architectural walking tour through Indo-Saracenic royal halls, stained-glass Durbar Hall, and weekend night viewing of 97,000 glowing light bulbs.",Located in the center of Mysuru city.
ACT000156,Ranganathittu Bird Sanctuary Boating Safari,Mysuru,Karnataka,Mandya,Wildlife,Boat Safari,Eco Tourism,Beginner,Winter,Ranganathittu Bird Sanctuary (Kaveri River Islets - Ramsar Site),Yes,Karnataka Forest Department,https://aranya.gov.in/,"Guided paddle-boat safari along Kaveri river islets observing mugger crocodiles basking on rocks and breeding colonies of painted storks, pelicans, and spoonbills.",Situated 16 km north of Mysuru on the Mysuru-Bengaluru highway.
ACT000157,Chamundi Hill 1000-Step Pilgrimage Trek,Mysuru,Karnataka,Mysuru,Spiritual,Spiritual Walk,Spiritual Tourism,Moderate,Year-round,Chamundi Hill Stone Stairway & Monolithic Nandi,Yes,Mysuru District Administration & Karnataka Tourism,https://mysore.nic.in/tourist-places/,"Traditional 1,008-step stone pilgrimage climb built in 1659 leading up to Chamundeshwari Temple and the 15-foot monolithic granite Nandi statue.",Rises 13 km southeast of Mysuru city center.
ACT000158,Sharavathi Backwater Kayaking and Boating,Shivamogga,Karnataka,Shivamogga,Water,Kayaking,Eco Tourism,Beginner,Seasonal,Honnemaradu / Linganamakki Dam Reservoir & Jog Falls,Yes,Karnataka Ecotourism Development Board,https://www.karnatakaecotourism.com/,"Canoeing, coracle rides, windsurfing, and island camping on the vast backwaters of the Sharavathi river.",Honnemaradu eco-camp is located 70 km northwest of Shivamogga city.
ACT000159,Monolithic Bahubali 600-Step Pilgrimage Trek,Shravanabelagola,Karnataka,Hassan,Spiritual,Spiritual Walk,Spiritual Tourism,Moderate,Year-round,Vindhyagiri Hill (Gommateshwara Monolith),Yes,Archaeological Survey of India & Jain Mutt Shravanabelagola,https://asi.nic.in/,Barefoot stone climb of 650 steps cut into granite hillside to reach the 57-foot tall free-standing monolithic statue of Lord Gommateshwara consecrated in 981 CE.,Rises above Shravanabelagola town.
ACT000160,Tipu Sultan Palace Heritage Walk & Riverfront Trail,Shrirangapattana,Karnataka,Mandya,Cultural,Heritage Walk,Heritage Tourism,Beginner,Year-round,"Daria Daulat Bagh, Gumbaz & Srirangapatna River Island Fort",Yes,Archaeological Survey of India (ASI),https://asi.nic.in/,"Walking tour of Tipu Sultan's summer palace completely covered with wall paintings depicting the 1780 Battle of Pollilur, subterranean water gate dungeon, and mausoleum.",Located on the Kaveri river island town of Shrirangapattana.
ACT000161,Gol Gumbaz Whispering Gallery Acoustic Walk,Vijayapura,Karnataka,Vijayapura,Cultural,Heritage Walk,Heritage Tourism,Beginner,Year-round,Gol Gumbaz Mausoleum & Ibrahim Rauza,Yes,Archaeological Survey of India (ASI),https://asi.nic.in/,"Acoustic tour in the world's second-largest dome where a whisper echoes 11 times, combined with Adil Shahi dynastic architectural walkthroughs.",Located in the heart of Vijayapura (Bijapur) city.
ACT000162,Kettuvallam Traditional Houseboat Overnight Cruise,Alappuzha,Kerala,Alappuzha,Water,River Cruise,Leisure Tourism,Beginner,Year-round,Punnamada Lake & Vembanad Lake Backwater Circuits,Yes,Kerala Tourism Department (DTPC Alappuzha),https://www.keralatourism.org/destination/alappuzha,"Licensed traditional thatched wooden houseboats (Kettuvallams) gliding through tranquil palm-fringed lagoons, duck farming zones, and rural backwater canals.",Boarding jetties are centered at Punnamada Finishing Point in Alappuzha.
ACT000163,Backwater Narrow Canal Kayaking & Canoeing,Alappuzha,Kerala,Alappuzha,Water,Kayaking,Eco Tourism,Beginner,Year-round,Kuttanad Below Sea Level Farming Canals,Yes,Kerala Tourism (Responsible Tourism Mission),https://www.keralatourism.org/destination/alappuzha,Guided small canoe and sit-on-top kayak explorations through narrow interior village canals inaccessible to larger motorized vessels.,Conducted in Kuttanad delta immediately contiguous with Alappuzha.
ACT000164,Kalaripayattu Martial Arts Training & Demonstration,Vatakara,Kerala,Kozhikode,Cultural,Cultural Tour,Cultural Tourism,Beginner,Year-round,CVN Kalari & Lokanarkavu Temple Arena,Yes,Kerala Tourism & Kerala Kalaripayattu Academy,https://www.keralatourism.org/,"Interactive training sessions and demonstrations in India's oldest surviving martial art form involving flexible swords (urumi), wooden staffs, and physical agility.","Vatakara is the epic center of Kadathanad, renowned for the ballad of Thacholi Othenan."
ACT000165,Bamboo Rafting & Wilderness Trekking,Idukki,Kerala,Idukki,Adventure,Rafting,Eco Tourism,Moderate,Year-round,Periyar Tiger Reserve (Thekkady),Yes,Periyar Tiger Conservation Foundation & Kerala Forest Dept,https://periyartigerreserve.org/,Full-day eco-tourism program combining guided hiking through evergreen forests and traditional bamboo rafting across the Periyar Lake reservoir.,Periyar Tiger Reserve is situated in Idukki district.
ACT000166,Periyar Lake Wildlife Boat Safari,Idukki,Kerala,Idukki,Wildlife,Boat Safari,Wildlife Tourism,Beginner,Year-round,Periyar Lake (Thekkady Boat Landing),Yes,Kerala Tourism Development Corporation (KTDC) & Forest Dept,https://www.ktdc.com/,"Two-hour motorized passenger boat cruises observing wild herds of Asian elephants, wild boars, gaur, and sambar watering along the lake shores.",Located at Thekkady in Idukki district.
ACT000167,Tea Plantation Trekking & Factory Processing Tour,Idukki,Kerala,Idukki,Cultural,Agro Tourism,Agro Tourism,Beginner,Year-round,Munnar Tea Estates & KDHP Tea Museum,Yes,Kanan Devan Hills Plantations (KDHP) & Kerala Tourism,https://www.keralatourism.org/destination/munnar,"Walking trails through manicured green tea carpeted mountain slopes, observing tea leaf plucking, and visiting industrial roller drying factories.",Munnar is the premier hill resort of Idukki district.
ACT000168,Theyyam Sacred Ritual Performance Immersion,Kannur,Kerala,Kannur,Cultural,Cultural Tour,Cultural Tourism,All Levels,Winter,Parassini Madappura Sree Muthappan & Village Kavu Shrines,Yes,Kerala Tourism & DTPC Kannur,https://www.keralatourism.org/theyyamcalendar/,"Night-long ancient living ritual dance performances where human dancers don colossal headgears, body paint, and fire torches to embody folk deities.",Conducted in village shrines across Kannur district.
ACT000169,Drive-in Beach Motoring Experience,Kannur,Kerala,Kannur,Leisure,Scenic Tour,Leisure Tourism,Beginner,Year-round,Muzhappilangad Drive-in Beach,Yes,Kerala Tourism,https://www.keralatourism.org/destination/muzhappilangad-drive-beach,"Driving cars and motorcycles directly along 4 km of hard-packed coastal shoreline, recognized as Asia's longest drive-in beach.",Located 15 km south of Kannur city.
ACT000170,Colonial Spice Heritage Walk,Kochi,Kerala,Ernakulam,Cultural,Heritage Walk,Heritage Tourism,Beginner,Winter,Fort Kochi & Mattancherry Historic Quarters,Yes,Kerala Tourism & Cochin Heritage Zone Conservation Society,https://www.keralatourism.org/destination/fort-kochi,"Guided pedestrian trail visiting St. Francis Church (Vasco da Gama's burial place), Santa Cruz Basilica, street art murals, and historic spice warehouses.",Located in Fort Kochi across the harbour channel.
