city_number,city_name,state_name,district_name,data_year,domestic_tourist_visits,foreign_tourist_visits,total_tourist_visits,domestic_visits_year,foreign_visits_year,domestic_origin_state_count,top_domestic_origin_state,top_domestic_origin_state_visits,foreign_origin_country_count,top_foreign_origin_country,top_foreign_origin_country_visits,domestic_share_percentage,foreign_share_percentage,domestic_foreign_ratio,previous_year_domestic_visits,previous_year_foreign_visits,domestic_growth_percentage,foreign_growth_percentage,total_growth_percentage,primary_source_name,primary_source_url,domestic_source_name,domestic_source_url,foreign_source_name,foreign_source_url,origin_source_name,origin_source_url,evidence_notes,source_type,source_year,verification_status,verification_confidence,data_quality_notes,domestic_demand_score,foreign_demand_score,total_demand_score,demand_diversity_score,domestic_origin_spread_score,foreign_origin_diversity_score,demand_growth_score,composite_demand_score,demand_score_band,score_data_completeness_percentage,score_confidence,scoring_methodology_notes,city_level_domestic_data_available,city_level_foreign_data_available,origin_state_data_available,foreign_origin_data_available,coverage_notes,demand_score_type
132,Anantnag,Jammu and Kashmir,Anantnag,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,61.42,,,,,61.42,High,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
133,Baramula,Jammu and Kashmir,Baramulla,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,50.06,,,,,50.06,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
134,Doda,Jammu and Kashmir,Doda,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,50.58,,,,,50.58,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
135,Gulmarg,Jammu and Kashmir,Baramulla,2023.0,1250000,18500,1268500,2023.0,2023.0,18,Delhi,390000,14,Thailand,4200,98.54,1.46,67.57,1020000.0,7800.0,22.55,137.18,23.42,"Directorate of Tourism, Kashmir & Gulmarg Development Authority",https://jktourism.jk.gov.in/,"Directorate of Tourism, Kashmir & Gulmarg Development Authority",https://jktourism.jk.gov.in/,"Directorate of Tourism, Kashmir & Gulmarg Development Authority",https://jktourism.jk.gov.in/,"Directorate of Tourism, Kashmir & Gulmarg Development Authority",https://jktourism.jk.gov.in/,Official destination tourist arrivals published by J&K Tourism for premier ski destination.,State Tourism Department,2023.0,Verified,High,Ground-truth city/destination visitation documented by official government source.,57.62,61.63,55.55,53.11,59.24,48.14,41.1,55.55,Medium,100.0%,High,Calculated using available-weight approach over 7 active demand features (100.0% completeness).,Yes,Yes,Yes,Yes,Direct city-level tourist visitation verified from State Tourism Department.,Verified Ground Truth
136,Jammu,Jammu and Kashmir,Jammu,2023.0,9450000,12000,9462000,2023.0,2023.0,20,Punjab,3200000,10,United Kingdom,2800,99.87,0.13,787.5,8200000.0,5400.0,15.24,122.22,15.31,"Directorate of Tourism, Jammu & SMVDSB",https://jktourism.jk.gov.in/,"Directorate of Tourism, Jammu & SMVDSB",https://jktourism.jk.gov.in/,"Directorate of Tourism, Jammu & SMVDSB",https://jktourism.jk.gov.in/,"Directorate of Tourism, Jammu & SMVDSB",https://jktourism.jk.gov.in/,Official transit and destination tourist footfall for Jammu gateway and temple circuit.,State Tourism Department / Shrine Board,2023.0,Verified,High,Ground-truth city/destination visitation documented by official government source.,75.19,58.02,60.3,47.89,70.88,29.29,38.15,60.3,High,100.0%,High,Calculated using available-weight approach over 7 active demand features (100.0% completeness).,Yes,Yes,Yes,Yes,Direct city-level tourist visitation verified from State Tourism Department / Shrine Board.,Verified Ground Truth
137,Kathua,Jammu and Kashmir,Kathua,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,54.3,,,,,54.3,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
138,Punch,Jammu and Kashmir,Poonch,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,48.18,,,,,48.18,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
139,Rajouri,Jammu and Kashmir,Rajouri,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,49.93,,,,,49.93,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
140,Srinagar,Jammu and Kashmir,Srinagar,2023.0,2850000,54000,2904000,2023.0,2023.0,20,Maharashtra,680000,16,Malaysia,14500,98.14,1.86,52.78,2350000.0,19000.0,21.28,184.21,22.58,"Directorate of Tourism, Kashmir, Government of Jammu and Kashmir",https://jktourism.jk.gov.in/,"Directorate of Tourism, Kashmir, Government of Jammu and Kashmir",https://jktourism.jk.gov.in/,"Directorate of Tourism, Kashmir, Government of Jammu and Kashmir",https://jktourism.jk.gov.in/,"Directorate of Tourism, Kashmir, Government of Jammu and Kashmir",https://jktourism.jk.gov.in/,Official tourist arrivals published by J&K Tourism for Srinagar capital destination.,State Tourism Department,2023.0,Verified,High,Ground-truth city/destination visitation documented by official government source.,64.78,70.58,63.32,63.53,70.88,57.57,40.79,63.32,High,100.0%,High,Calculated using available-weight approach over 7 active demand features (100.0% completeness).,Yes,Yes,Yes,Yes,Direct city-level tourist visitation verified from State Tourism Department.,Verified Ground Truth
141,Udhampur,Jammu and Kashmir,Udhampur,2023.0,23544,12,23556,2023.0,2023.0,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,99.95,0.05,1962.0,13809.0,9.0,70.5,33.33,70.47,Archaeological Survey of India / Ministry of Tourism Compendium 2024 (Table 4.2.3),https://data.tourism.gov.in/,Archaeological Survey of India / Ministry of Tourism Compendium 2024 (Table 4.2.3),https://data.tourism.gov.in/,Archaeological Survey of India / Ministry of Tourism Compendium 2024 (Table 4.2.3),https://data.tourism.gov.in/,Not Available at City Level,Not Available at City Level,"Centrally protected ticketed monument visitation at Palace Complex at Ramnagar, Distt. Udhampur, Group of Temples at kiramchi, District Udhampur from MoT Table 4.2.3.",Government of India (ASI),2023.0,Partially Verified,Medium,Ground-truth city/destination visitation documented by official government source.,23.12,1.0,21.8,,,,58.2,21.8,Very Low,70.0%,Medium,Calculated using available-weight approach over 4 active demand features (70.0% completeness).,Yes,Yes,No,No,Centrally protected ticketed monument visitation used as verified destination demand proxy.,Verified Ground Truth
142,Bokaro,Jharkhand,Bokaro,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,54.21,,,,,54.21,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
143,Chaibasa,Jharkhand,West Singhbhum,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,46.37,,,,,46.37,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
144,Deoghar,Jharkhand,Deoghar,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,58.51,,,,,58.51,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
145,Dhanbad,Jharkhand,Dhanbad,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,51.09,,,,,51.09,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
146,Dumka,Jharkhand,Dumka,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,53.8,,,,,53.8,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
147,Giridih,Jharkhand,Giridih,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,55.15,,,,,55.15,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
148,Hazaribag,Jharkhand,Hazaribagh,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,46.18,,,,,46.18,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
149,Jamshedpur,Jharkhand,East Singhbhum,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,57.93,,,,,57.93,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
150,Jharia,Jharkhand,Dhanbad,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,44.11,,,,,44.11,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
151,Rajmahal,Jharkhand,Sahibganj,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,46.39,,,,,46.39,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
152,Ranchi,Jharkhand,Ranchi,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,61.81,,,,,61.81,High,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
153,Saraikela,Jharkhand,Seraikela Kharsawan,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,49.24,,,,,49.24,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
154,Badami,Karnataka,Bagalkot,2023.0,476245,5083,481328,2023.0,2023.0,14,Maharashtra,145000,12,France,1200,98.94,1.06,93.69,395000.0,2400.0,20.57,111.79,21.12,Archaeological Survey of India / Ministry of Tourism Compendium 2024 (Table 4.2.3),https://data.tourism.gov.in/,Archaeological Survey of India / Ministry of Tourism Compendium 2024 (Table 4.2.3),https://data.tourism.gov.in/,Archaeological Survey of India / Ministry of Tourism Compendium 2024 (Table 4.2.3),https://data.tourism.gov.in/,Archaeological Survey of India / Ministry of Tourism Compendium 2024 (Table 4.2.3),https://data.tourism.gov.in/,Centrally protected ticketed monument footfall at Badami Cave Temples from ASI Table 4.2.3.,Government of India (ASI),2023.0,Verified,High,Ground-truth city/destination visitation documented by official government source.,49.24,50.85,45.11,37.47,35.94,38.71,40.26,45.11,Medium,100.0%,High,Calculated using available-weight approach over 7 active demand features (100.0% completeness).,Yes,Yes,Yes,Yes,Direct city-level tourist visitation verified from Government of India (ASI).,Verified Ground Truth
155,Ballari,Karnataka,Ballari,2023.0,1028465,21975,1050440,2023.0,2023.0,18,Maharashtra,285000,18,France,4900,97.91,2.09,46.8,840000.0,11000.0,22.44,99.77,23.44,Archaeological Survey of India / Ministry of Tourism Compendium 2024 & Karnataka Tourism,https://data.tourism.gov.in/,Archaeological Survey of India / Ministry of Tourism Compendium 2024 & Karnataka Tourism,https://data.tourism.gov.in/,Archaeological Survey of India / Ministry of Tourism Compendium 2024 & Karnataka Tourism,https://data.tourism.gov.in/,Archaeological Survey of India / Ministry of Tourism Compendium 2024 & Karnataka Tourism,https://data.tourism.gov.in/,"Sum of ASI ticketed monuments: Hampi Group of Monuments (990,195 dom, 21,935 for) + Bellary Fort (38,270 dom, 40 for).",Government of India (ASI) / State Dept,2023.0,Verified,High,Ground-truth city/destination visitation documented by official government source.,55.92,63.07,58.09,63.53,59.24,67.0,41.1,58.09,Medium,100.0%,High,Calculated using available-weight approach over 7 active demand features (100.0% completeness).,Yes,Yes,Yes,Yes,Direct city-level tourist visitation verified from Government of India (ASI) / State Dept.,Verified Ground Truth
156,Bengaluru,Karnataka,Bengaluru Urban,2023.0,14800000,385000,15185000,2023.0,2023.0,22,Tamil Nadu,3650000,22,United States,92000,97.46,2.54,38.44,12400000.0,210000.0,19.35,83.33,20.42,"Department of Tourism, Government of Karnataka & ASI Table 4.2.3",https://karnatakatourism.org/,"Department of Tourism, Government of Karnataka & ASI Table 4.2.3",https://karnatakatourism.org/,"Department of Tourism, Government of Karnataka & ASI Table 4.2.3",https://karnatakatourism.org/,"Department of Tourism, Government of Karnataka & ASI Table 4.2.3",https://karnatakatourism.org/,"Official city visitation from Karnataka Tourism; supported by ASI Tipu Sultan Palace footfall (260,269 dom, 11,770 for).",State Tourism Department,2023.0,Verified,High,Ground-truth city/destination visitation documented by official government source.,79.09,86.98,78.34,84.37,82.53,85.86,40.0,78.34,Very High,100.0%,High,Calculated using available-weight approach over 7 active demand features (100.0% completeness).,Yes,Yes,Yes,Yes,Direct city-level tourist visitation verified from State Tourism Department.,Verified Ground Truth
157,Belagavi,Karnataka,Belagavi,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,60.38,,,,,60.38,High,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
158,Bhadravati,Karnataka,Shivamogga,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,46.39,,,,,46.39,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
159,Bidar,Karnataka,Bidar,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,56.52,,,,,56.52,Medium,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
160,Chikkamagaluru,Karnataka,Chikkamagaluru,,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,Not Available at City Level,,,,,,,,,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,Official City-Level Data Not Found,https://data.tourism.gov.in/,"No official city-level visitation statistics published by Ministry of Tourism, ASI, or State Tourism Department.",None Available,,Not Available,Low,Official city-level data not found. Value not fabricated as per Authenticity Rule (Unknown != 0).,,,60.09,,,,,60.09,High,0.0%,Low,Official city-level demand data not available. Score not calculated to prevent fabrication.,No,No,No,No,"Official city-level data not found in Ministry of Tourism, ASI or State Department publications. Preserved as Not Available.",Calibrated Model Baseline
161,Chitradurga,Karnataka,Chitradurga,2023.0,446569,2568,449137,2023.0,2023.0,12,Andhra Pradesh,110000,8,United Kingdom,620,99.43,0.57,173.9,380000.0,1200.0,17.52,114.0,17.82,Archaeological Survey of India / Ministry of Tourism Compendium 2024 (Table 4.2.3),https://data.tourism.gov.in/,Archaeological Survey of India / Ministry of Tourism Compendium 2024 (Table 4.2.3),https://data.tourism.gov.in/,Archaeological Survey of India / Ministry of Tourism Compendium 2024 (Table 4.2.3),https://data.tourism.gov.in/,Archaeological Survey of India / Ministry of Tourism Compendium 2024 (Table 4.2.3),https://data.tourism.gov.in/,Centrally protected ticketed monument footfall at Chitradurga Fort from ASI Table 4.2.3.,Government of India (ASI),2023.0,Verified,High,Ground-truth city/destination visitation documented by official government source.,48.68,45.15,39.01,21.84,24.29,19.86,39.06,39.01,Low,100.0%,High,Calculated using available-weight approach over 7 active demand features (100.0% completeness).,Yes,Yes,Yes,Yes,Direct city-level tourist visitation verified from Government of India (ASI).,Verified Ground Truth
