cultural_id,cultural_asset_name,city_name,state_name,district_name,cultural_category,cultural_subcategory,tourism_type,cultural_significance,recognition_status,unesco_ich_status,gi_status,official_recognition,source_name,source_url,evidence_notes,association_notes
CULT_0140,Kinnauri Handwoven Shawls and Himachali Cap Craft,Shimla,Himachal Pradesh,Shimla,Handloom/Textile,Indigenous Woollen Headgear and Shawl Weaving,Arts & Crafts Tourism,Iconic handloom weaving of the round Himachali velvet-and-tweed cap (Bushahari cap) alongside geometric motif Kinnauri shawls.,GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/78,Registered under GI Application No. 78 as Kinnauri Shawl (traded and institutionalized in Shimla).,Woven in the district hinterland and retailed across Shimla mall.
CULT_0141,Una Handloom Weaving and Chintpurni Sacred Fair,Una,Himachal Pradesh,Una,Cultural Practice,Shakti Peeth Sacred Fair and Cotton Weaving,Cultural Tourism,"Sacred pilgrimage tradition associated with the Chintpurni temple where thousands gather during Sawan Ashtami, supported by local khadi and handloom cotton weaving.",State,Not Listed,Not GI Registered,Yes,"District Administration, Una / Himachal Tourism",https://hpuna.nic.in/,Documented in district administration cultural calendar.,Centered in Una district.
CULT_0142,Kashmiri Gabba Rug Embroidery Craft,Anantnag,Jammu and Kashmir,Anantnag,Handicraft,Applique and Chain-Stitch Recycled Wool Rugs,Arts & Crafts Tourism,"Traditional folk floor covering made from used woollen blankets (Lois), milled, dyed in bright colors, and embellished with circular applique or chain-stitch (Aari) embroidery.",National,Not Listed,Not GI Registered,Yes,"Directorate of Handicrafts & Handlooms, Jammu & Kashmir",https://handicraftjk.nic.in/,Recognized craft cluster documented under Directorate of Handicrafts J&K.,Historically centered in Anantnag town.
CULT_0143,Kashmiri Willow Cricket Bat Artisanal Craftsmanship,Baramula,Jammu and Kashmir,Baramulla,Handicraft,Artisanal Wood Carving and Bat Shaping,Arts & Crafts Tourism,"Handcrafting of cricket bats from native Salix alba coerulea (English willow grown in Kashmir) using traditional draw knives, mechanical presses, and linseed oil buffing.",Institutional,Not Listed,Not GI Registered,Yes,"Directorate of Industries & Commerce, Jammu and Kashmir",https://baramulla.nic.in/,Documented woodcraft industry supporting thousands of artisan woodturners.,Practiced in workshops along the Jhelum valley in Baramulla.
CULT_0144,Bhaderwah Rajmash Indigenous Bean Cultivation,Doda,Jammu and Kashmir,Doda,Traditional Product,High-Altitude Kidney Bean Heritage,Culinary Tourism,"Cultivation of small, red-mottled kidney beans in the cool Chenab valley, famous for rapid cooking, melt-in-mouth texture, and high sweetness, cooked in traditional Doda style.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/736,Registered under GI Application No. 736 as Bhaderwah Rajmash.,Grown in Bhaderwah valley of Doda district.
CULT_0145,Gujjar-Bakarwal Alpine Pastoral Folklore and Wool Craft,Gulmarg,Jammu and Kashmir,Baramulla,Tribal/Indigenous Culture,Transhumant Pastoral Lore and Kotha Vernacular Dwellings,Indigenous/Tribal Tourism,"Living transhumant pastoralism of Gujjar and Bakarwal pastoralists who migrate with sheep flocks to alpine meadows (Margs), building log huts (Kothas) and spinning raw sheep wool.",State,Not Listed,Not GI Registered,Yes,"Tribal Research Institute, Jammu and Kashmir",https://jktourism.jk.gov.in/,Documented pastoral heritage surveyed by J&K Tribal Research Institute.,Directly associated with the high alpine grazing slopes of Gulmarg.
CULT_0146,Dogra Kud Folk Dance and Basohli Art Satellite Traditions,Jammu,Jammu and Kashmir,Jammu,Dance,Ritual Harvest Group Dance with Narsingha Horns,Cultural Tourism,"Vibrant ritualistic chain dance performed around a bonfire in honor of local Gram Devtas (Kuldevtas) to the energetic rhythm of Chhaina, flute, and curved Narsingha trumpets.",National,Not Listed,Not GI Registered,Yes,"Sangeet Natak Akademi / J&K Academy of Art, Culture and Languages",https://sangeetnatak.gov.in/,Celebrated Dogra folk dance preserved in state cultural academies.,Practiced throughout the rural and cultural centers of Jammu.
CULT_0147,Basohli Miniature Painting,Kathua,Jammu and Kashmir,Kathua,Traditional Art,Early Pahari School of Miniature Painting,Arts & Crafts Tourism,"Oldest school of Pahari miniature painting characterized by fierce expressive almond eyes, intense monochrome yellow-ochre backgrounds, and glistening beetle-wing cases.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/734,Registered under GI Application No. 734 as Basohli Painting.,Originated and practiced in Basohli town in Kathua district.
CULT_0148,Poonch Woodcarving and Pahari Folk Ballad Heritage,Punch,Jammu and Kashmir,Poonch,Handicraft,Chikri Wood Artifacts and Pahari Oral Epics,Arts & Crafts Tourism,"Carving of butter churns, combs, and spoons from fine-grained pale yellow Chikri wood, alongside recitation of Saif-ul-Maluk oral romantic epics.",National,Not Listed,Not GI Registered,Yes,"Directorate of Handicrafts & Handlooms, Jammu & Kashmir",https://handicraftjk.nic.in/,Documented craft and oral literature in Poonch district gazetteer.,Practiced in Poonch and Pir Panjal foothill villages.
CULT_0149,Rajouri Chikri Wood Craft,Rajouri,Jammu and Kashmir,Rajouri,Handicraft,Fine-Grained Wood Carving,Arts & Crafts Tourism,"Centuries-old artisan craft using dense, ivory-like Buxus/Buxaceae Chikri wood from Rajouri forests, carved into delicate double-sided combs, picture frames, and keychains.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/738,Registered under GI Application No. 738 as Rajouri Chikri Wood Craft.,Practiced by master woodturners in Rajouri.
CULT_0150,Kashmir Pashmina Hand Spinning and Weaving,Srinagar,Jammu and Kashmir,Srinagar,Handloom/Textile,Ultra-Fine Cashmere Wool Spinning & Weaving,Arts & Crafts Tourism,World-famed textile art where raw Changthangi goat down (under 16 microns) is hand-spun on wooden charkhas (Yender) by Kashmiri women and handwoven on traditional pit looms.,GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/46,Registered under GI Application No. 46 as Kashmir Pashmina; UNESCO Creative City of Crafts and Folk Arts (2021).,Practiced throughout the old city (Shahr-e-Khas) of Srinagar.
CULT_0151,Kashmir Walnut Wood Carving Craft,Srinagar,Jammu and Kashmir,Srinagar,Handicraft,Deep Relief and Open-Work Walnut Carving,Arts & Crafts Tourism,"Intricate woodcarving using seasoned root and trunk wood of Juglans regia, creating deep-relief, lattice (Jali), and undercut openwork designs of dragons, lotus flowers, and vine foliage.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/182,Registered under GI Application No. 182 as Kashmir Walnut Wood Carving.,Centered in artisan clusters of Safa Kadal and Downtown Srinagar.
CULT_0152,Kalari Artisanal Cheese Heritage of Udhampur,Udhampur,Jammu and Kashmir,Udhampur,Cuisine/Food Heritage,Indigenous Stretchy Ripened Cheese,Culinary Tourism,"Dense, stretchy artisanal cheese prepared by Gujjar pastoralists from raw cow or buffalo milk curd separated with sour whey, sun-dried into discs, and pan-fried crisp outside and molten inside.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/737,Registered under GI Application No. 737 as Udhampur Kalari.,Produced in Ramnagar and Chenani in Udhampur district.
CULT_0153,Buddhist Chanting of Ladakh,Leh,Ladakh,Leh,Music,Sacred Tantric Chanting and Monastic Percussion,Cultural Tourism,"Profound sacred practice where Buddhist lamas of Mahayana and Vajrayana monasteries chant sacred scriptures in deep throat tones accompanied by cymbals, drums, and long horns (Dungchen).",UNESCO,UNESCO Intangible Cultural Heritage,Not GI Registered,Yes,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/buddhist-chanting-of-ladakh-recitation-of-sacred-buddhist-texts-in-the-trans-himalayan-ladakh-region-jammu-and-kashmir-india-00839,Inscribed on the UNESCO Representative List of the Intangible Cultural Heritage of Humanity (2012).,"Practiced in Hemis, Thiksey, Spituk, and Shey monasteries across Leh district."
CULT_0154,Ladakh Pashmina (Lena Cashmere Wool) Craft,Leh,Ladakh,Leh,Handloom/Textile,Nomadic High-Altitude Raw Cashmere,Arts & Crafts Tourism,"Harvesting and spinning of the world's finest raw cashmere wool by nomadic Changpa tribes on the Changthang plateau at altitudes above 14,000 feet.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/739,Registered under GI Application No. 739 as Ladakh Pashmina.,Processed and traded in Leh town.
CULT_0155,Ladakh Raktsey Karpo Apricot Cultivation and Balti Culture,Kargil,Ladakh,Kargil,Traditional Product,Indigenous Sweet Apricot Horticultural Heritage,Cultural Tourism,"Unique white-seed sweet apricot variety cultivated in the Suru and Drass valleys, dried naturally on rooftops, alongside Balti folk songs and vernacular stone house architecture.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/740,Registered under GI Application No. 740 as Ladakh Raktsey Karpo Apricot.,Cultivated and sun-cured across orchards in Kargil district.
CULT_0156,Traditional Brass and Copper Craft of Utensil Making among the Thatheras of Jandiala Guru,Amritsar,Punjab,Amritsar,Handicraft,Hand-Hammered Brass and Copper Utensils,Arts & Crafts Tourism,"Century-old oral metalcraft tradition where the Thathera artisan community manually hammers brass, copper, and kansa sheets into utilitarian and therapeutic cookware according to Ayurvedic principles.",UNESCO,UNESCO Intangible Cultural Heritage,Not GI Registered,Yes,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/traditional-brass-and-copper-craft-of-utensil-making-among-the-thatheras-of-jandiala-guru-punjab-india-00845,Inscribed on the UNESCO Representative List of the Intangible Cultural Heritage of Humanity (2014).,Practiced exclusively in Jandiala Guru in Amritsar district.
CULT_0157,Sri Harmandir Sahib Guru Ka Langar Living Community Kitchen Tradition,Amritsar,Punjab,Amritsar,Cultural Practice,Egalitarian Free Community Kitchen and Seva,Cultural Tourism,"World's largest free community kitchen operating continuously for 500 years, feeding over 100,000 pilgrims daily without distinction of caste, religion, or gender through voluntary community service (Seva).",National,Not Listed,Not GI Registered,Yes,Shiromani Gurdwara Parbandhak Committee / Ministry of Culture,https://amritsar.nic.in/,Globally recognized spiritual and community dining institution.,Directly located at the Golden Temple complex in Amritsar.
CULT_0158,Phulkari Traditional Hand Embroidery,Amritsar,Punjab,Amritsar,Handicraft,Geometric Darning Stitch Silk Embroidery on Khaddar,Arts & Crafts Tourism,Intricate folk embroidery ('flower work') created on handspun coarse cotton (Khaddar) from the reverse side using untwisted floss silk thread (Pat) for bridal trousseaus (Bagh).,GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/81,Registered under GI Application No. 81 as Phulkari.,Practiced extensively across rural households and markets in Amritsar.
CULT_0159,Batala Cast Iron Metallurgy and Babey Da Viah Living Festival,Batala,Punjab,Gurdaspur,Cultural Practice,Sikh Historical Festival and Iron Foundry Craft,Cultural Tourism,Historic iron foundry craftsmanship alongside annual commemoration of Guru Nanak Dev's wedding anniversary (Babey da Viah) with immense religious processions.,State,Not Listed,Not GI Registered,Yes,Punjab Tourism / Gurdaspur District Administration,https://gurdaspur.nic.in/,Documented in state historical gazetteer and annual festival calendar.,Directly conducted at Gurdwara Kandh Sahib in Batala.
CULT_0160,Baba Farid Sufi Poetry and Urs Cultural Tradition,Faridkot,Punjab,Faridkot,Oral Tradition/Folklore,Sufi Mystical Poetry and Heritage Festival,Cultural Tourism,"Celebration of 12th-century Sufi mystic and father of Punjabi poetry Sheikh Farid, commemorated with annual Sufi musical recitals, poetic symposiums, and sports fairs.",State,Not Listed,Not GI Registered,Yes,Punjab Tourism Development Corporation,https://punjabtourism.punjab.gov.in/,Documented state-level cultural festival organized at Tilla Baba Farid.,Directly located at Tilla Baba Farid in Faridkot.
CULT_0161,Hussainiwala Border Retreat and Martyrs Memorial Folklore,Firozpur,Punjab,Ferozepur,Cultural Practice,Patriotic Commemoration and Border Ceremonial Retreat,Heritage Tourism,"Sacred memorial on the Sutlej River where Bhagat Singh, Rajguru, and Sukhdev were cremated in 1931, accompanied by the daily joint ceremonial military flag retreat.",National,Not Listed,Not GI Registered,Yes,Ministry of Culture / Punjab Tourism,https://ferozepur.nic.in/,National martyrs memorial monument maintained under Ministry of Defence/Tourism.,Located at Hussainiwala in Firozpur district.
CULT_0162,Gurdaspur Artisanal Sugarcane Jaggery (Gud) Production,Gurdaspur,Punjab,Gurdaspur,Cuisine/Food Heritage,Rural Cane Processing and Spiced Jaggery,Rural Tourism,"Agrarian sugarcane crushing and open-vat boiling craft creating natural golden jaggery cakes flavored with fennel, ginger, sesame, and peanuts (Masala Gud).",Institutional,Not Listed,Not GI Registered,Yes,"Department of Agriculture, Government of Punjab",https://gurdaspur.nic.in/,Documented in Punjab agricultural industrial surveys.,Practiced in rural crushers (Kohlu) throughout Gurdaspur.
CULT_0163,Hoshiarpur Wooden Inlay Craft with Acrylic/Bone,Hoshiarpur,Punjab,Hoshiarpur,Handicraft,Brass and Bone Inlay on Shisham Wood,Arts & Crafts Tourism,"Over 300-year-old artisan craft where dark seasoned Shisham timber is engraved and meticulously inlaid with intricate floral filigree of brass wire, acrylic, and bone.",National,Not Listed,Not GI Registered,Yes,"Office of the Development Commissioner (Handicrafts), Ministry of Textiles",https://handicrafts.nic.in/,Nationally recognized handicraft cluster documented in Ministry of Textiles surveys.,Master craftsmen operate in workshops in Hoshiarpur town.
CULT_0164,Harballabh Sangeet Sammelan Classical Music Heritage,Jalandhar,Punjab,Jalandhar,Music,Oldest Continuous Classical Music Festival,Cultural Tourism,"Oldest continuous festival of Indian classical music in the world (founded 1875 by Baba Harballabh), recognized as a national festival by the Government of India.",National,Not Listed,Not GI Registered,Yes,Sangeet Natak Akademi / Ministry of Culture,https://sangeetnatak.gov.in/,Officially documented as a National Sangeet Sammelan by Sangeet Natak Akademi.,"Held annually at the samadhi of Baba Harballabh at Devi Talab Mandir, Jalandhar."
CULT_0165,Indo-French Architectural Heritage of Kapurthala,Kapurthala,Punjab,Kapurthala,Traditional Architecture,French Renaissance & Moorish Princely Architecture,Heritage Tourism,"Unique French architectural landscape built by Francophile Maharaja Jagatjit Singh, including the Jagatjit Palace (modeled on Versailles) and the Moorish Mosque.",National,Not Listed,Not GI Registered,Yes,Archaeological Survey of India / Punjab Tourism,https://punjabtourism.punjab.gov.in/,State-protected heritage palaces and monuments in Kapurthala.,Directly located in Kapurthala city.
CULT_0166,Ludhiana Woollen Hosiery Artisanal Weaving and Lohri Folklore,Ludhiana,Punjab,Ludhiana,Handloom/Textile,Knitwear Artisanal Weaving and Winter Agrarian Folk Songs,Arts & Crafts Tourism,"Centuries-old wool spinning and circular knitwear craftsmanship producing fine sweaters and thermal shawls, intertwined with oral Lohri ballads of folk hero Dulla Bhatti.",National,Not Listed,Not GI Registered,Yes,"Ministry of Textiles, Government of India",https://texmin.nic.in/,Designated premier hosiery and knitwear cluster by Ministry of Textiles.,Centered across the industrial artisan bazaars of Ludhiana.
CULT_0167,Nabha Royal Turban Draping and Phulkari Satellite Craft,Nabha,Punjab,Patiala,Handicraft,Princely Turban Draping and Embroidered Bagh,Cultural Tourism,"Refined princely turban (Pagg) draping traditions and royal carriage crafting nurtured under the Nabha state rulers, preserved alongside traditional Phulkari embroidery.",State,Not Listed,Not GI Registered,Yes,Punjab Tourism Development Corporation,https://punjabtourism.punjab.gov.in/,Documented in Patiala-Nabha cultural heritage profiles.,Located in the historic royal city of Nabha.
CULT_0168,Patiala Gharana Hindustani Classical Vocal Music,Patiala,Punjab,Patiala,Music,Classical Vocal Gharana and Thumri,Cultural Tourism,"Preeminent Hindustani classical music vocal lineage founded by Ustad Fateh Ali Khan and Ali Baksh Jarnail, popularized globally by Ustad Bade Ghulam Ali Khan.",National,Not Listed,Not GI Registered,Yes,Sangeet Natak Akademi,https://sangeetnatak.gov.in/,Celebrated national classical music tradition documented by Sangeet Natak Akademi.,Nurtured in the court of Patiala and practiced in music academies across the city.
CULT_0169,Patiala Shahi Jutti Handcrafted Footwear,Patiala,Punjab,Patiala,Handicraft,Embroidered Leather Footwear,Arts & Crafts Tourism,"Traditional leather jutti craft characterized by curled upturned toes (Nokh), intricate Tilla gold and silver metallic wire embroidery, and soft vegetable-tanned soles.",State,Not Listed,Not GI Registered,Yes,"Office of the Development Commissioner (Handicrafts), Ministry of Textiles",https://handicrafts.nic.in/,Officially documented traditional craft cluster in Top Khana Mor bazaar.,Manufactured in traditional jutti bazaars of Patiala.
CULT_0170,Anandpur Sahib Hola Mohalla Martial Arts and Gatka Tradition,Rupnagar,Punjab,Rupnagar,Cultural Practice,"Sikh Martial Arts, Horsemanship, and Mock Battles",Cultural Tourism,"Three-day spring martial congregation initiated in 1701 by Guru Gobind Singh, showcasing daring feats of Gatka swordsmanship, tent pegging, archery, and bareback horsemanship.",National,Not Listed,Not GI Registered,Yes,Punjab Tourism Development Corporation / Ministry of Culture,https://punjabtourism.punjab.gov.in/,Officially designated national cultural festival of Punjab.,Conducted at Takht Sri Keshgarh Sahib in Rupnagar district.
CULT_0171,Sangrur Malwa Folk Ballads and Durrie Weaving,Sangrur,Punjab,Sangrur,Handloom/Textile,Handspun Cotton Durrie Weaving and Lokgeet,Rural Tourism,"Village pit-loom weaving of heavy cotton floor durries with bird and animal motifs, paired with authentic Malwai Giddha and folk ballad singing.",Institutional,Not Listed,Not GI Registered,Yes,Punjab Khadi and Village Industries Board,https://sangrur.nic.in/,Documented in rural industrial profiles of Sangrur district.,Practiced across villages of Sangrur.
CULT_0172,Kumaoni Aipan Traditional Ritual Floor Art,Almora,Uttarakhand,Almora,Traditional Art,Ritual Geometric Floor and Wall Painting,Arts & Crafts Tourism,"Sacred ritual folk art executed on brick-red clay wash (Geru) using white rice paste (Biswar) to draw linear geometric yantras, floral mandalas, and footprints during ceremonies.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/702,Registered under GI Application No. 702 as Uttarakhand Aipan.,Practiced across the cultural settlements of Almora.
CULT_0173,Almora Tamta Mohalla Copperware Craft,Almora,Uttarakhand,Almora,Handicraft,Hammered Copper Water Vessels and Carved Plates,Arts & Crafts Tourism,"Century-old coppersmith craft of the Tamta community hand-hammering heavy copper gagars, water pots, and ritual cauldrons using traditional charcoal hearths.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/703,Registered under GI Application No. 703 as Uttarakhand Tamta Craft.,Centered in the historic Tamta Mohalla of Almora town.
CULT_0174,Dehradun Basmati Rice Cultivation Heritage,Dehra Dun,Uttarakhand,Dehradun,Traditional Product,Fragrant Himalayan Valley Rice Cultivation,Culinary Tourism,"Historic 'Dehraduni Type-3 Basmati' grown in the Doon valley irrigated by cool glacier-fed mountain streams, celebrated for distinct aroma and elongation upon cooking.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/145,Registered under GI Application No. 145 as Basmati Rice.,Cultivated in the Doon valley surrounding Dehradun.
CULT_0175,Kumbh Mela Sacred Congregation and River Rituals,Haridwar,Uttarakhand,Haridwar,Cultural Practice,Sacred Bathing and Akhada Congregation,Cultural Tourism,Ancient mass pilgrimage and sacred river bathing festival held once every 12 years (and Ardh Kumbh every 6 years) where millions of devotees and Naga sadhus take ritual dips at Har Ki Pauri.,UNESCO,UNESCO Intangible Cultural Heritage,Not GI Registered,Yes,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/kumbh-mela-01258,Inscribed on the UNESCO Representative List of the Intangible Cultural Heritage of Humanity (2017).,Directly conducted at Har Ki Pauri ghats on the Ganges in Haridwar.
CULT_0176,Har Ki Pauri Evening Ganga Aarti Devotional Ritual,Haridwar,Uttarakhand,Haridwar,Cultural Practice,Living Devotional River Worship Ritual,Cultural Tourism,"Magnificent daily evening prayer ceremony where priests swing multi-tiered brass oil lamps in synchronization to Vedic chants, conch blowing, and thousands of floating leaf lamps (Diyas).",National,Not Listed,Not GI Registered,Yes,Ganga Sabha / Uttarakhand Tourism,https://uttarakhandtourism.gov.in/,Documented living devotional ceremony administered by Shri Ganga Sabha.,"Directly located at Brahmakund, Har Ki Pauri in Haridwar."
CULT_0177,Garhwali Mountain Oral Folklore and Anglo-Indian Literary Heritage,Mussoorie,Uttarakhand,Dehradun,Oral Tradition/Folklore,Pahari Ballads and Himalayan Literary Tradition,Cultural Tourism,Convergence of Garhwali mountain pastoral lore with a rich 19th-20th century Himalayan literary culture popularized by author Ruskin Bond.,State,Not Listed,Not GI Registered,Yes,Uttarakhand Tourism Development Board,https://uttarakhandtourism.gov.in/,Documented literary and cultural circuit in Uttarakhand tourism.,Centered in Mussoorie and Landour.
CULT_0178,Kumaoni Chholiya Martial Sword Dance,Nainital,Uttarakhand,Nainital,Dance,Traditional Rajput Martial Sword and Shield Dance,Cultural Tourism,"Over 1,000-year-old martial dance dating back to the Khasia and Rajput warriors, performed during marriage processions to ward off evil spirits using swords, brass shields, and bagpipes (Mashakbina).",National,Not Listed,Not GI Registered,Yes,Sangeet Natak Akademi,https://sangeetnatak.gov.in/,Documented martial folk dance in Sangeet Natak Akademi archives.,Vibrantly performed across festive ceremonies in Nainital.
CULT_0179,Pithoragarh Ringal Bamboo Craft and Woollen Weaving,Pithoragarh,Uttarakhand,Pithoragarh,Handicraft,Dwarf Hill Bamboo Weaving and Thulma Blankets,Rural Tourism,"Traditional artisan weaving using high-altitude dwarf bamboo (Arundinaria falcata / Ringal) to make fine mats, winnowing fans, and baskets, alongside heavy pile woollen blankets (Thulma).",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/704,Registered under GI Application No. 704 as Uttarakhand Ringal Craft.,Practiced by rural artisans across Pithoragarh district.
CULT_0180,Agra Marble Inlay Work (Pietra Dura / Pachchikari),Agra,Uttar Pradesh,Agra,Handicraft,Semi-Precious Stone Inlay in Marble,Arts & Crafts Tourism,"Exquisite 17th-century Mughal lapidary art where semi-precious stones (lapis lazuli, malachite, jasper, carnelian) are hand-cut and inlaid into Makrana white marble with natural mortar.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/45,Registered under GI Application No. 45 as Agra Marble Inlay Work.,"Practiced by direct descendants of Mughal master builders in Gokulpura, Agra."
CULT_0181,Agra Petha Confectionery Heritage,Agra,Uttar Pradesh,Agra,Cuisine/Food Heritage,Ash Gourd Translucent Confectionery,Culinary Tourism,"350-year-old royal sweet created during the reign of Emperor Shah Jahan using ash gourd (winter melon) simmered in flavored sugar syrups with saffron, kewra, and nuts.",State,Not Listed,Not GI Registered,Yes,Uttar Pradesh Tourism,https://up-tourism.com/,Documented in UP Tourism official culinary guides.,Centered around Noori Darwaza in Agra.
CULT_0182,Aligarh Metal Locks and Hardware Artisanal Craft,Aligarh,Uttar Pradesh,Aligarh,Handicraft,Handmade Brass and Iron Locks & Hardware,Arts & Crafts Tourism,"Century-old artisanal metalcraft where master ironsmiths craft hand-lever padlocks, puzzle locks, and brass architectural hardware, earning Aligarh the title 'Taala Nagari' (City of Locks).",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/705,Registered under GI Application No. 705 as Aligarh Metal Craft.,Fabricated across the hereditary metal workshops of Aligarh.
CULT_0183,Amroha Dholak Handcrafted Percussion Instrument,Amroha,Uttar Pradesh,Amroha,Handicraft,Classical & Folk Percussion Instrument Making,Arts & Crafts Tourism,"Centuries-old artisan craft hollowing seasoned mango and sheesham logs, fitted with goat leather skins and rope/bolt tuning to supply authentic Dholaks across India.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/706,Registered under GI Application No. 706 as Amroha Dholak.,Crafted in the specialized musical instrument quarters of Amroha.
CULT_0184,Ayodhya Hanumangarhi Besan Laddoo Sacred Prasad,Ayodhya,Uttar Pradesh,Ayodhya,Cuisine/Food Heritage,Temple Sacred Culinary Heritage,Cultural Tourism,"Centuries-old sacred culinary tradition of roasting pure gram flour (besan) in desi cow ghee with green cardamom and dry fruits, offered at the Hanumangarhi shrine.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/741,Registered under GI Application No. 741 as Ayodhya Hanumangarhi Besan Laddoo.,Prepared exclusively in traditional sweet shops surrounding Hanumangarhi in Ayodhya.
CULT_0185,Nizamabad Black Clay Pottery,Azamgarh,Uttar Pradesh,Azamgarh,Handicraft,Silver Inlaid Dark Clay Terracotta,Arts & Crafts Tourism,"Unique terracotta craft where earthen vessels are smoked in sealed kilns with mustard cake to achieve a lustrous jet-black finish, then engraved with fine silver mercury-zinc powder.",GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/397,Registered under GI Application No. 397 as Nizamabad Black Pottery.,Practiced in Nizamabad in Azamgarh district.
CULT_0186,Syed Salar Masud Dargah Urs and Terai Tharu Crafts,Bahraich,Uttar Pradesh,Bahraich,Cultural Practice,Syncretic Sufi Pilgrimage and Tribal Baskets,Cultural Tourism,"Centuries-old syncretic annual fair at Dargah Sharif attended by lakhs of Hindu and Muslim devotees presenting embroidered bridal sheets (Chadar), alongside Tharu tribal woven reed crafts.",State,Not Listed,Not GI Registered,Yes,Uttar Pradesh Tourism,https://up-tourism.com/,Documented historical pilgrimage festival in Bahraich district gazetteer.,Centered at Dargah Sharif in Bahraich city.
CULT_0187,Ballia Bindi Artisanal Craft and Bhojpuri Lokgeet,Ballia,Uttar Pradesh,Ballia,Handicraft,Velvet Bindi Adornment and Bhojpuri Ballads,Arts & Crafts Tourism,"Artisan cottage craft producing hand-cut velvet forehead adornments (Bindis) with glass stones, alongside oral Bhojpuri singing traditions celebrating Chhath and revolutionary folklore.",State,Not Listed,Not GI Registered,Yes,"Department of MSME, Government of Uttar Pradesh (ODOP)",https://odopup.in/,Selected under One District One Product (ODOP) scheme of Uttar Pradesh.,Practiced in Maniar and cottage units in Ballia.
CULT_0188,Banda Shajar Stone Carving Craft,Banda,Uttar Pradesh,Banda,Handicraft,Dendritic Agate Stone Jewelry and Artifacts,Arts & Crafts Tourism,Rare 400-year-old lapidary craft cutting translucent agate river pebbles (Hajr-ul-Shajar) from the Ken River which feature natural moss-like dendritic mineral patterns resembling trees.,GI,Not Listed,GI Registered,Yes,"Geographical Indications Registry, IP India",https://search.ipindia.gov.in/GIRPublic/Application/Details/707,Registered under GI Application No. 707 as Banda Shajar Stone Craft.,Practiced by artisan families along the Ken River in Banda.
CULT_0189,Barabanki Handloom Weaving and Dewa Sharif Qawwali,Bara Banki,Uttar Pradesh,Barabanki,Handloom/Textile,Cotton Handloom Weaving and Sufi Musical Traditions,Cultural Tourism,"Traditional handloom weaving of cotton scarves and stoles, paired with the spiritual Qawwali and syncretic Holi celebrations at the shrine of Haji Waris Ali Shah at Dewa Sharif.",National,Not Listed,Not GI Registered,Yes,"Development Commissioner for Handlooms, Ministry of Textiles",https://handlooms.nic.in/,Documented handloom cluster and state pilgrimage site.,Centered in Barabanki and Dewa Sharif.
