user_destination,user_start_date,user_end_date,event_id,event_start_date,event_end_date,distance_km,importance_tier,event_category,user_interest,date_confidence,event_status,date_overlap_days,days_until_event,days_since_event,relevance_label
Jaipur,2026-08-15,2026-08-16,EVT-0030,2026-08-15,2026-08-16,15.0,Tier 2 - State / Regional Significance,Culture,Culture,HIGH,Active,4,0,0,5
Kullu,2026-10-21,2026-10-27,EVT-0031,2026-10-21,2026-10-27,15.0,Tier 2 - State / Regional Significance,Spiritual,Spiritual,HIGH,Active,4,0,0,5
Mandi,2026-02-16,2026-02-23,EVT-0032,2026-02-16,2026-02-23,15.0,Tier 2 - State / Regional Significance,Spiritual,Spiritual,HIGH,Active,4,0,0,5
Chamba,2026-07-26,2026-08-02,EVT-0033,2026-07-26,2026-08-02,15.0,Tier 2 - State / Regional Significance,Harvest,Harvest,HIGH,Active,4,0,0,5
Rishikesh,2026-03-01,2026-03-07,EVT-0034,2026-03-01,2026-03-07,15.0,Tier 2 - State / Regional Significance,Wellness,Wellness,HIGH,Active,4,0,0,5
Haridwar,2026-01-14,2026-04-14,EVT-0035,2026-01-14,2026-04-14,15.0,Tier 2 - State / Regional Significance,Spiritual,Spiritual,HIGH,Active,4,0,0,5
Anandpur Sahib,2026-03-04,2026-03-06,EVT-0036,2026-03-04,2026-03-06,15.0,Tier 2 - State / Regional Significance,Culture,Culture,HIGH,Active,4,0,0,5
Amritsar,2026-01-13,2026-01-13,EVT-0037,2026-01-13,2026-01-13,15.0,Tier 2 - State / Regional Significance,Harvest,Harvest,HIGH,Active,4,0,0,5
Srinagar,2026-03-25,2026-04-15,EVT-0038,2026-03-25,2026-04-15,15.0,Tier 2 - State / Regional Significance,Tourism,Tourism,HIGH,Active,4,0,0,5
Srinagar,2026-07-10,2026-07-12,EVT-0039,2026-07-10,2026-07-12,15.0,Tier 2 - State / Regional Significance,Culture,Culture,HIGH,Active,4,0,0,5
Ziro,2026-09-24,2026-09-27,EVT-0040,2026-09-24,2026-09-27,15.0,Tier 2 - State / Regional Significance,Music,Music,HIGH,Active,4,0,0,5
Tawang,2026-10-28,2026-10-31,EVT-0041,2026-10-28,2026-10-31,15.0,Tier 2 - State / Regional Significance,Culture,Culture,HIGH,Active,4,0,0,5
Shillong,2026-11-15,2026-11-18,EVT-0042,2026-11-15,2026-11-18,15.0,Tier 2 - State / Regional Significance,Culture,Culture,HIGH,Active,4,0,0,5
Asanang (Tura),2026-11-12,2026-11-14,EVT-0043,2026-11-12,2026-11-14,15.0,Tier 2 - State / Regional Significance,Tribal,Tribal,HIGH,Active,4,0,0,5
Imphal,2026-11-21,2026-11-30,EVT-0044,2026-11-21,2026-11-30,15.0,Tier 2 - State / Regional Significance,Culture,Culture,HIGH,Active,4,0,0,5
Aizawl,2026-03-06,2026-03-07,EVT-0045,2026-03-06,2026-03-07,15.0,Tier 2 - State / Regional Significance,Tribal,Tribal,HIGH,Active,4,0,0,5
Hampi,2026-11-03,2026-11-05,EVT-0046,2026-11-03,2026-11-05,15.0,Tier 2 - State / Regional Significance,Heritage,Heritage,HIGH,Active,4,0,0,5
Bengaluru,2026-04-11,2026-04-12,EVT-0047,2026-04-11,2026-04-12,15.0,Tier 2 - State / Regional Significance,Spiritual,Spiritual,HIGH,Active,4,0,0,5
Jagdalpur,2026-08-15,2026-10-23,EVT-0048,2026-08-15,2026-10-23,15.0,Tier 2 - State / Regional Significance,Tribal,Tribal,HIGH,Active,4,0,0,5
Jhabua,2026-03-18,2026-03-24,EVT-0049,2026-03-18,2026-03-24,15.0,Tier 2 - State / Regional Significance,Tribal,Tribal,HIGH,Active,4,0,0,5
Gwalior,2026-12-22,2026-12-26,EVT-0050,2026-12-22,2026-12-26,15.0,Tier 2 - State / Regional Significance,Music,Music,HIGH,Active,4,0,0,5
Mathura / Barsana,2026-03-15,2026-03-16,EVT-0051,2026-03-15,2026-03-16,15.0,Tier 2 - State / Regional Significance,Culture,Culture,HIGH,Active,4,0,0,5
Varanasi,2026-11-24,2026-11-24,EVT-0052,2026-11-24,2026-11-24,15.0,Tier 2 - State / Regional Significance,Spiritual,Spiritual,HIGH,Active,4,0,0,5
Agra,2026-02-18,2026-02-27,EVT-0053,2026-02-18,2026-02-27,15.0,Tier 2 - State / Regional Significance,Culture,Culture,HIGH,Active,4,0,0,5
Rajgir,2026-11-28,2026-11-30,EVT-0054,2026-11-28,2026-11-30,15.0,Tier 2 - State / Regional Significance,Culture,Culture,HIGH,Active,4,0,0,5
Sonepur,2026-11-20,2026-12-20,EVT-0055,2026-11-20,2026-12-20,15.0,Tier 2 - State / Regional Significance,Livestock / Melas,Livestock / Melas,HIGH,Active,4,0,0,5
Port Blair,2026-01-15,2026-01-18,EVT-0056,2026-01-15,2026-01-18,15.0,Tier 2 - State / Regional Significance,Tourism,Tourism,HIGH,Active,4,0,0,5
Lepakshi,2026-02-15,2026-02-18,EVT-0057,2026-02-15,2026-02-18,15.0,Tier 2 - State / Regional Significance,Heritage,Heritage,HIGH,Active,4,0,0,5
Visakhapatnam,2026-12-15,2026-12-18,EVT-0058,2026-12-15,2026-12-18,15.0,Tier 2 - State / Regional Significance,Culture,Culture,HIGH,Active,4,0,0,5
Daporijo,2026-01-15,2026-01-18,EVT-0059,2026-01-15,2026-01-18,15.0,Tier 2 - State / Regional Significance,Tribal,Tribal,HIGH,Active,4,0,0,5
Pasighat,2026-09-15,2026-09-18,EVT-0060,2026-09-15,2026-09-18,15.0,Tier 2 - State / Regional Significance,Harvest,Harvest,HIGH,Active,4,0,0,5
Majuli,2026-11-15,2026-11-18,EVT-0061,2026-11-15,2026-11-18,15.0,Tier 2 - State / Regional Significance,Culture,Culture,HIGH,Active,4,0,0,5
Sivasagar,2026-01-15,2026-01-18,EVT-0062,2026-01-15,2026-01-18,15.0,Tier 2 - State / Regional Significance,Heritage,Heritage,HIGH,Active,4,0,0,5
Bodh Gaya,2026-05-15,2026-05-18,EVT-0063,2026-05-15,2026-05-18,15.0,Tier 2 - State / Regional Significance,Spiritual,Spiritual,HIGH,Active,4,0,0,5
Vaishali,2026-04-15,2026-04-18,EVT-0064,2026-04-15,2026-04-18,15.0,Tier 2 - State / Regional Significance,Heritage,Heritage,HIGH,Active,4,0,0,5
Chandigarh,2026-02-15,2026-02-18,EVT-0065,2026-02-15,2026-02-18,15.0,Tier 2 - State / Regional Significance,Nature,Nature,HIGH,Active,4,0,0,5
Sirpur,2026-01-15,2026-01-18,EVT-0066,2026-01-15,2026-01-18,15.0,Tier 2 - State / Regional Significance,Culture,Culture,HIGH,Active,4,0,0,5
Daman,2026-12-15,2026-12-18,EVT-0067,2026-12-15,2026-12-18,15.0,Tier 2 - State / Regional Significance,Tourism,Tourism,HIGH,Active,4,0,0,5
Delhi,2026-11-15,2026-11-18,EVT-0068,2026-11-15,2026-11-18,15.0,Tier 2 - State / Regional Significance,Culture,Culture,HIGH,Active,4,0,0,5
Delhi,2026-11-15,2026-11-18,EVT-0069,2026-11-15,2026-11-18,15.0,Tier 2 - State / Regional Significance,Music,Music,HIGH,Active,4,0,0,5
Shigmo / Panaji,2026-03-15,2026-03-18,EVT-0070,2026-03-15,2026-03-18,15.0,Tier 2 - State / Regional Significance,Culture,Culture,HIGH,Active,4,0,0,5
Modhera,2026-01-15,2026-01-18,EVT-0071,2026-01-15,2026-01-18,15.0,Tier 2 - State / Regional Significance,Culture,Culture,HIGH,Active,4,0,0,5
Junagadh,2026-02-15,2026-02-18,EVT-0072,2026-02-15,2026-02-18,15.0,Tier 2 - State / Regional Significance,Spiritual,Spiritual,HIGH,Active,4,0,0,5
Kurukshetra,2026-12-15,2026-12-18,EVT-0073,2026-12-15,2026-12-18,15.0,Tier 2 - State / Regional Significance,Culture,Culture,HIGH,Active,4,0,0,5
Pinjore,2026-12-15,2026-12-18,EVT-0074,2026-12-15,2026-12-18,15.0,Tier 2 - State / Regional Significance,Heritage,Heritage,HIGH,Active,4,0,0,5
Shimla,2026-06-15,2026-06-18,EVT-0075,2026-06-15,2026-06-18,15.0,Tier 2 - State / Regional Significance,Culture,Culture,HIGH,Active,4,0,0,5
Dharamshala,2026-11-15,2026-11-18,EVT-0076,2026-11-15,2026-11-18,15.0,Tier 2 - State / Regional Significance,Culture,Culture,HIGH,Active,4,0,0,5
Ranchi,2026-04-15,2026-04-18,EVT-0077,2026-04-15,2026-04-18,15.0,Tier 2 - State / Regional Significance,Tribal,Tribal,HIGH,Active,4,0,0,5
Deoghar,2026-07-15,2026-07-18,EVT-0078,2026-07-15,2026-07-18,15.0,Tier 2 - State / Regional Significance,Spiritual,Spiritual,HIGH,Active,4,0,0,5
Pattadakal,2026-01-15,2026-01-18,EVT-0079,2026-01-15,2026-01-18,15.0,Tier 2 - State / Regional Significance,Heritage,Heritage,HIGH,Active,4,0,0,5
Udupi,2026-01-15,2026-01-18,EVT-0080,2026-01-15,2026-01-18,15.0,Tier 2 - State / Regional Significance,Spiritual,Spiritual,HIGH,Active,4,0,0,5
Kottayam,2026-09-15,2026-09-18,EVT-0081,2026-09-15,2026-09-18,15.0,Tier 2 - State / Regional Significance,Culture,Culture,HIGH,Active,4,0,0,5
Wayanad,2026-07-15,2026-07-18,EVT-0082,2026-07-15,2026-07-18,15.0,Tier 2 - State / Regional Significance,Tourism,Tourism,HIGH,Active,4,0,0,5
Zanskar,2026-07-15,2026-07-18,EVT-0083,2026-07-15,2026-07-18,15.0,Tier 2 - State / Regional Significance,Culture,Culture,HIGH,Active,4,0,0,5
